searchString,rank,title,address,website,phone,lat,lng,totalScore,placeId,categoryName,reviewsCount,openingHours,imageUrl,url
atm,1,QQ88,"561 Võ Văn Hát, Trường Thạnh, Quận 9, Hồ Chí Minh, Việt Nam","https://www.google.com/maps/search/atm/@10.821089318561162,106.79743596489031,16z?hl=vi",,10.8230786,106.80777929999999,,ChIJdfHSYQ2DdjER1IpyT32p7Fc,ATM,0,"['""Thứ Ba"" ""08:00 to 16:30""', '""Thứ Tư"" ""08:00 to 16:30""', '""Thứ Năm"" ""08:00 to 16:30""', '""Thứ Sáu"" ""08:00 to 16:30""', '""Thứ Bảy"" ""Đóng cửa""', '""Chủ Nhật"" ""Đóng cửa""', '""Thứ Hai"" ""08:00 to 16:30""']",,https://www.google.com/maps/search/?api=1&query=QQ88&query_place_id=ChIJdfHSYQ2DdjER1IpyT32p7Fc
atm,3,TPBank LiveBank Liên Phường Quận 9,"Số 440 Đ. Liên Phường, phường, Quận 9, Hồ Chí Minh, Việt Nam","https://www.google.com/maps/search/atm/@10.821089318561162,106.79743596489031,16z?hl=vi",+84 1900 585885,10.8060934,106.7894332,3.9,ChIJH92bkY8ndTERFtxQlE_7JCU,ATM,8,"['""Thứ Ba"" ""Mở cửa cả ngày""', '""Thứ Tư"" ""Mở cửa cả ngày""', '""Thứ Năm"" ""Mở cửa cả ngày""', '""Thứ Sáu"" ""Mở cửa cả ngày""', '""Thứ Bảy"" ""Mở cửa cả ngày""', '""Chủ Nhật"" ""Mở cửa cả ngày""', '""Thứ Hai"" ""Mở cửa cả ngày""']",https://lh5.googleusercontent.com/p/AF1QipMK73IWbma1AvvNkz1ROzvR_zgtTCGX_R_mEcJi=w426-h240-k-no,https://www.google.com/maps/search/?api=1&query=TPBank%20LiveBank%20Li%C3%AAn%20Ph%C6%B0%E1%BB%9Dng%20Qu%E1%BA%ADn%209&query_place_id=ChIJH92bkY8ndTERFtxQlE_7JCU
atm,5,TPBank LiveBank The Art Gia Hòa Quận 9,"Chung cư The Art, Gia Hòa/532A Đỗ Xuân Hợp, Phước Long B, Quận 9, Hồ Chí Minh, Việt Nam","https://www.google.com/maps/search/atm/@10.821089318561162,106.79743596489031,16z?hl=vi",+84 1900 585885,10.8150251,106.7772535,5.0,ChIJSaBoT9MndTER71ClDvXVkmw,ATM,2,"['""Thứ Ba"" ""Mở cửa cả ngày""', '""Thứ Tư"" ""Mở cửa cả ngày""', '""Thứ Năm"" ""Mở cửa cả ngày""', '""Thứ Sáu"" ""Mở cửa cả ngày""', '""Thứ Bảy"" ""Mở cửa cả ngày""', '""Chủ Nhật"" ""Mở cửa cả ngày""', '""Thứ Hai"" ""Mở cửa cả ngày""']",,https://www.google.com/maps/search/?api=1&query=TPBank%20LiveBank%20The%20Art%20Gia%20H%C3%B2a%20Qu%E1%BA%ADn%209&query_place_id=ChIJSaBoT9MndTER71ClDvXVkmw
atm,7,ATM TP LiveBank FPT,"ĐH FPT, Đ. D1, P, Quận 9, Hồ Chí Minh, Việt Nam","https://www.google.com/maps/search/atm/@10.821089318561162,106.79743596489031,16z?hl=vi",+84 1900 585885,10.8408889,106.8101463,5.0,ChIJMcJAQgondTERgcZZcpMUBMA,ATM,2,"['""Thứ Ba"" ""Mở cửa cả ngày""', '""Thứ Tư"" ""Mở cửa cả ngày""', '""Thứ Năm"" ""Mở cửa cả ngày""', '""Thứ Sáu"" ""Mở cửa cả ngày""', '""Thứ Bảy"" ""Mở cửa cả ngày""', '""Chủ Nhật"" ""Mở cửa cả ngày""', '""Thứ Hai"" ""Mở cửa cả ngày""']",,https://www.google.com/maps/search/?api=1&query=ATM%20TP%20LiveBank%20FPT&query_place_id=ChIJMcJAQgondTERgcZZcpMUBMA
atm,8,ATM Techcombank (CDM),"280-282 Đỗ Xuân Hợp, P, Thủ Đức, Hồ Chí Minh, Việt Nam","https://www.google.com/maps/search/atm/@10.821089318561162,106.79743596489031,16z?hl=vi",+84 1800 588822,10.8230983,106.7699189,,ChIJC7jaEtkndTERNHBuzoXb08w,ATM,0,"['""Thứ Ba"" ""Mở cửa cả ngày""', '""Thứ Tư"" ""Mở cửa cả ngày""', '""Thứ Năm"" ""Mở cửa cả ngày""', '""Thứ Sáu"" ""Mở cửa cả ngày""', '""Thứ Bảy"" ""Mở cửa cả ngày""', '""Chủ Nhật"" ""Mở cửa cả ngày""', '""Thứ Hai"" ""Mở cửa cả ngày""']",https://lh5.googleusercontent.com/p/AF1QipNoLFd5pffmsiGzmSHzy0BxGL2vreXVc7cdysa1=w426-h240-k-no,https://www.google.com/maps/search/?api=1&query=ATM%20Techcombank%20(CDM)&query_place_id=ChIJC7jaEtkndTERNHBuzoXb08w
atm,9,ATM Techcombank (CDM),"44 Xuân Quỳnh, P, Thủ Đức, Hồ Chí Minh, Việt Nam","https://www.google.com/maps/search/atm/@10.821089318561162,106.79743596489031,16z?hl=vi",+84 1800 588822,10.8153421,106.7777684,1.0,ChIJj_vpIYkndTERZwPkYLMDdns,ATM,1,"['""Thứ Ba"" ""Mở cửa cả ngày""', '""Thứ Tư"" ""Mở cửa cả ngày""', '""Thứ Năm"" ""Mở cửa cả ngày""', '""Thứ Sáu"" ""Mở cửa cả ngày""', '""Thứ Bảy"" ""Mở cửa cả ngày""', '""Chủ Nhật"" ""Mở cửa cả ngày""', '""Thứ Hai"" ""Mở cửa cả ngày""']",https://lh5.googleusercontent.com/p/AF1QipPA1ibTBn49nh-KVxFHDaW23kLaqBOXVSLl9Dgu=w426-h240-k-no,https://www.google.com/maps/search/?api=1&query=ATM%20Techcombank%20(CDM)&query_place_id=ChIJj_vpIYkndTERZwPkYLMDdns
atm,10,ATM MB,"130 Lê Văn Việt, Hiệp Phú, Quận 9, Hồ Chí Minh, Việt Nam","https://www.google.com/maps/search/atm/@10.821089318561162,106.79743596489031,16z?hl=vi",,10.8454434,106.77951,4.2,ChIJDw4GMwwndTERWrj9f58b1Yw,ATM,9,"['""Thứ Ba"" ""Mở cửa cả ngày""', '""Thứ Tư"" ""Mở cửa cả ngày""', '""Thứ Năm"" ""Mở cửa cả ngày""', '""Thứ Sáu"" ""Mở cửa cả ngày""', '""Thứ Bảy"" ""Mở cửa cả ngày""', '""Chủ Nhật"" ""Mở cửa cả ngày""', '""Thứ Hai"" ""Mở cửa cả ngày""']",https://lh5.googleusercontent.com/p/AF1QipONBqZgJtGIYlkVrGucTKzGrZqUl5SvO-PjOTop=w408-h544-k-no,https://www.google.com/maps/search/?api=1&query=ATM%20MB&query_place_id=ChIJDw4GMwwndTERWrj9f58b1Yw
atm,11,Atm Sacombank,"272 Hém 445, Phước Long B, Quận 9, Hồ Chí Minh, Việt Nam","https://www.google.com/maps/search/atm/@10.821089318561162,106.79743596489031,16z?hl=vi",,10.8232951,106.7697331,5.0,ChIJS7hJCFYmdTERHodJz05wiL4,ATM,1,"['""Thứ Ba"" ""Mở cửa cả ngày""', '""Thứ Tư"" ""Mở cửa cả ngày""', '""Thứ Năm"" ""Mở cửa cả ngày""', '""Thứ Sáu"" ""Mở cửa cả ngày""', '""Thứ Bảy"" ""Mở cửa cả ngày""', '""Chủ Nhật"" ""Mở cửa cả ngày""', '""Thứ Hai"" ""Mở cửa cả ngày""']",https://lh5.googleusercontent.com/p/AF1QipNbUWC5MlWd91KCg6SS2mUwmWXKN6nMs67fxRI=w408-h306-k-no,https://www.google.com/maps/search/?api=1&query=Atm%20Sacombank&query_place_id=ChIJS7hJCFYmdTERHodJz05wiL4
atm,12,TPBank LiveBank Tăng Nhơn Phú Quận 9,"127A3 Tăng Nhơn Phú, Phước Long B, Quận 9, Hồ Chí Minh, Việt Nam","https://www.google.com/maps/search/atm/@10.821089318561162,106.79743596489031,16z?hl=vi",+84 1900 585885,10.8305675,106.7743863,3.0,ChIJ45f-5OMndTERbW8I8CWGoi4,ATM,6,"['""Thứ Ba"" ""Mở cửa cả ngày""', '""Thứ Tư"" ""Mở cửa cả ngày""', '""Thứ Năm"" ""Mở cửa cả ngày""', '""Thứ Sáu"" ""Mở cửa cả ngày""', '""Thứ Bảy"" ""Mở cửa cả ngày""', '""Chủ Nhật"" ""Mở cửa cả ngày""', '""Thứ Hai"" ""Mở cửa cả ngày""']",https://lh5.googleusercontent.com/p/AF1QipMNAofMWCPG4-PTGoQgVGdEN9N2DdRSgQO_nI-4=w408-h544-k-no,https://www.google.com/maps/search/?api=1&query=TPBank%20LiveBank%20T%C4%83ng%20Nh%C6%A1n%20Ph%C3%BA%20Qu%E1%BA%ADn%209&query_place_id=ChIJ45f-5OMndTERbW8I8CWGoi4
atm,13,Techcombank,"RQWH+4P, Hiệp Phú, Quận 9, Hồ Chí Minh, Việt Nam","https://www.google.com/maps/search/atm/@10.821089318561162,106.79743596489031,16z?hl=vi",+84 1800 588822,10.8453125,106.7793125,2.6,ChIJB_64Y_ApdTER3WXdTCcFx-o,ATM,39,"['""Thứ Ba"" ""00:00 to 23:00""', '""Thứ Tư"" ""00:00 to 23:00""', '""Thứ Năm"" ""00:00 to 23:00""', '""Thứ Sáu"" ""00:00 to 23:00""', '""Thứ Bảy"" ""00:00 to 23:00""', '""Chủ Nhật"" ""00:00 to 23:00""', '""Thứ Hai"" ""00:00 to 23:00""']",https://lh5.googleusercontent.com/p/AF1QipNn10wj5o6XM4dmNLh2S7sPhCrdsi7lezJT-sGH=w408-h306-k-no,https://www.google.com/maps/search/?api=1&query=Techcombank&query_place_id=ChIJB_64Y_ApdTER3WXdTCcFx-o
